Name,Domain,Stipend,Location,Branches
eKincare (Aayuv Technologies Pvt. Ltd.(Hyderabad),,35000,Hyderabad,A4
Eloquent Info Solutions Pvt. Ltd.(Bangalore),,75000,Bangalore,A7
Flexiple Tech Pvt Ltd(Bangalore),,15000,Bangalore,Any
Flipkart Analytics(Bangalore),IT,,Bangalore,A7 A7B4
Futures First Info Services Pvt Ltd(Hyderabad),Finance and Mgmt,40000,Hyderabad,A7
Futures First Info Services Pvt Ltd.(Gurgaon),Finance and Mgmt,20000,Gurgaon,A1 A2 A3 A4 A7 A8 AA AB B3 B4 B5 C7
Futures First- Financial Market & Research (Quant)(Gurgaon),Finance and Mgmt,,Gurgaon,
GenY medium(Hyderabad),Finance and Mgmt,12000,Hyderabad,A1 A2 A3 A4 A7 A8 AA AB
Geometric Limited(Mumbai),Mechanical,30000,Mumbai,A4 A7 AB H103 H106 H112 H142
GEP(Navi mumbai),IT,30000,Navi mumbai,H103
Grasim Industries Ltd.(Nagda),Chemical,,Nagda,H142
Grasim Industries, Pulp and Fibre Division(Mumbai),Chemical,,Mumbai,A1
Groww - Software Development(Bangalore),IT,51000,Bangalore,Any A7 A7 H103
Harness(Bangalore),IT,80000,Bangalore,A7
HCL Technologies Ltd (Formerly Geometric Ltd)(Mumbai),Mechanical,,Mumbai,A4 A7 AB H103 H106 H112 H142
HealthCloudAI(Bangalore),,22000,Bangalore,A3 A7 A8 AA
Here Maps - Distributed Data(Mumbai),Electronics,30000,Mumbai,A3 A7 A8 AA B4 C6 H103 H112 H313
Hindustan Unilever Research Centre(Bangalore),Chemical,20000,Bangalore,A1
Hourglass Research(Mumbai),Electronics,,Mumbai,A3 A8
IDeaS - SAS - Software Development(Pune),IT,30000,Pune,A3 A7 A8 AA
IMI Mobile R&D(Hyderabad),IT,35000,Hyderabad,A3 A7 A8 AA
IMIdigital R&D(Hyderabad),IT,35000,Hyderabad,A3 A7 A8 AA
Indian Institute of Petroleum(Dehradun),Chemical,0,Dehradun,A1
Indic-ai Foundation for Social Good(Gurgaon),,35000,Gurgaon,H149
Infinera(Bangalore),Electronics,,Bangalore,A3 A8 AA
Ingersoll Rand India Ltd(Bangalore),Mechanical,15000,Bangalore,H106 H141 H148
InMobi - Product Analyst(Bangalore),,35000,Bangalore,A7
InMobi - Software Development(Bangalore),Finance and Mgmt,40000,Bangalore,A7
InMobi- Business Development(Bangalore),Finance and Mgmt,,Bangalore,Any A1 A1 A2 A3 A4 A7 A8 B3 B4 B5 H103 H106 H112 H123 H124 H140 H141
Intel India Technology (Bangalore),Electronics,30000,Bangalore,A7
ION Energy(Mumbai),,30000,Mumbai,H140
John F Welch Technology Center (GE)(Bangalore),Mechanical,,Bangalore,
JPMS (Finance) CIB R&A Markets - Sales and Structuring(Mumbai),,75000,Mumbai,B3 C7
JPMS (Finance) CIB R&A Banking (CRG)(Mumbai),,50000,Mumbai,A1 A2 A3 A4 A7 A8 AA AB
JPMS (Finance) CIB R&A Markets - Trading(Mumbai),,75000,Mumbai,A3 A7 A8 AA C6
JPMS (Finance) GR&C Market Risk(Mumbai),,75000,Mumbai,B3 B4
JPMS (Finance) GR&C Model Risk Governance and Review - Challenger(Bangalore),,50000,Bangalore,H149
JPMS (Finance) GR&C Strategic Risk Analytics(Bangalore),,50000,Bangalore,B3 B4 C7
JPMS (Finance) GR&C Strategic Risk Analytics(Mumbai),,50000,Mumbai,B3 B4 C7
JPMS (Finance-Fintech) GR&C Model Risk Governance and Review - Model Review(Mumbai),,100000,Mumbai,A3 A7 A8 AA B3 B4 B5
JPMS (Technology - IT) CIB R&A Data Science - Fintech(Mumbai),,100000,Mumbai,A7
JPMS (Technology - IT) GR&C Quantitative Research - Fintech(Mumbai),,100000,Mumbai,A3 A7 A8 AA C6
JPMS (Technology - IT) GR&C Wholesale Credit Solutions - Data Science - Fintech(Mumbai),,100000,Mumbai,A3 A7 A8 AA C6
JPMS (Technology-IT) GR&C Model Risk Governance and Review - Ongoing Performance Management(Mumbai),,100000,Mumbai,A3 A7 A8 AA C6
JPMS (Technology-IT) GR&C Model Risk Governance and Review - Risk Strategy & Execution(Mumbai),,75000,Mumbai,A3 A7 A8 AA C6
Jubilant FoodWorks Ltd.(Noida),,25000,Noida,H149
Keysight Technologies International India Pvt. Ltd.(Gurgaon),,40000,Gurgaon,A7 AA
Klientas(Trivandrum),Finance and Mgmt,12500,Trivandrum,
Knorr-Bremse Technology Center India Private Limited(Pune),IT,15000,Pune,Any
Kochar Infotech Ltd. (Digital Marketing)(Gurgaon),,15000,Gurgaon,H149
Kochar Tech(Gurgaon),IT,20000,Gurgaon,Any A3 Any A4 Any A7 Any A8 Any AA A3 A4 A7 A8 AA H103 H112 H313
Kruzr Mobility Technology Solutions Pvt. Ltd.(Bangalore),IT,25000,Bangalore,Any A7 A7
Lenskart(Bangalore),IT,,Bangalore,A3 A7 AA H103 H112
Lenskart(Faridabad),IT,25000,Faridabad,A3 A7 AA
Linecraft AI - Operations(Pune),,20000,Pune,A4
Linecraft AI - Software(Pune),,25000,Pune,A7
Loylty Rewardz(Mumbai),,30000,Mumbai,A7
Maritime Research Centre(Pune),,20000,Pune,A3 A4 A7
Market Data Forecast(Hyderabad),Finance and Mgmt,,Hyderabad,A5
Mech Mocha Internet Pvt. Ltd.(Bangalore),IT,30000,Bangalore,A3 A7 A8 H103 H112
Mentor Graphics(Noida),Electronics,30000,Noida,A3 A7
Mercedes Benz(Bangalore),Mechanical,,Bangalore,
Micron Technology India Operations(Hyderabad),,50000,Hyderabad,A3 A7 AA H103 H123
Mol De Analytics(Hyderabad),IT,,Hyderabad,A7 A8 AA C6
Molecular Connections Pvt. Ltd.(Bangalore),,15000,Bangalore,H108
My smart price(Hyderabad),Others,20000,Hyderabad,A3 A7 A8 AA B3 B4
myHQ & (JustWork Technologies Pvt. Ltd.) Non Tech(New Delhi),,15000,New Delhi,A1 A2 A3 A4 A7 A8 AA AB H149
myHQ & (JustWork Technologies Pvt. Ltd.) Tech(New Delhi),Finance and Mgmt,25000,New Delhi,A3 A7 A8 AA
Myntra.com(Bangalore),IT,30000,Bangalore,Any
N.K. Buildcon Pvt. Ltd.(Jaipur),,20000,Jaipur,A2 A7
National Chemical Laboratory(Pune),Govt Research Lab,0,Pune,A1
National Council of Applied Economic Research(New delhi),Finance and Mgmt,15000,New delhi,
National Institute of Science and Tech. Dev. Studies (NISTADS)(New delhi),Others,0,New delhi,A3 A8 AA B1
NBC Bearings(Jaipur),Mechanical,4000,Jaipur,H141
Nedo Software Pvt. Ltd.(Bangalore),,25000,Bangalore,A7
Netradyne(Bangalore),,30000,Bangalore,A7 H103
NIVEA(Mumbai),Finance and Mgmt,10000,Mumbai,A7 C6
Nreach Online Services Pvt. Ltd.(Bangalore),IT,20000,Bangalore,H149
